,1,6,0,2,3,5,7,8,9,10,11,13,12,4,14
0, State-gov, Adm-clerical,39,77516, Bachelors, Never-married, Not-in-family, White, Male,2174,0, United-States,40,13,0
1, Self-emp-not-inc, Exec-managerial,50,83311, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,13,13,0
2, Private, Handlers-cleaners,38,215646, HS-grad, Divorced, Not-in-family, White, Male,0,0, United-States,40,9,0
3, Private, Handlers-cleaners,53,234721, 11th, Married-civ-spouse, Husband, Black, Male,0,0, United-States,40,7,0
4, Private, Prof-specialty,28,338409, Bachelors, Married-civ-spouse, Wife, Black, Female,0,0, Cuba,40,13,0
5, Private, Exec-managerial,37,284582, Masters, Married-civ-spouse, Wife, White, Female,0,0, United-States,40,14,0
6, Private, Other-service,49,160187, 9th, Married-spouse-absent, Not-in-family, Black, Female,0,0, Jamaica,16,5,0
7, Self-emp-not-inc, Exec-managerial,52,209642, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,45,9,1
8, Private, Prof-specialty,31,45781, Masters, Never-married, Not-in-family, White, Female,14084,0, United-States,50,14,1
9, Private, Exec-managerial,42,159449, Bachelors, Married-civ-spouse, Husband, White, Male,5178,0, United-States,40,13,1
10, Private, Exec-managerial,37,280464, Some-college, Married-civ-spouse, Husband, Black, Male,0,0, United-States,80,10,1
11, State-gov, Prof-specialty,30,141297, Bachelors, Married-civ-spouse, Husband, Asian-Pac-Islander, Male,0,0, India,40,13,1
12, Private, Adm-clerical,23,122272, Bachelors, Never-married, Own-child, White, Female,0,0, United-States,30,13,0
13, Private, Sales,32,205019, Assoc-acdm, Never-married, Not-in-family, Black, Male,0,0, United-States,50,12,0
14, Private, Craft-repair,40,121772, Assoc-voc, Married-civ-spouse, Husband, Asian-Pac-Islander, Male,0,0, ?,40,11,1
15, Private, Transport-moving,34,245487, 7th-8th, Married-civ-spouse, Husband, Amer-Indian-Eskimo, Male,0,0, Mexico,45,4,0
16, Self-emp-not-inc, Farming-fishing,25,176756, HS-grad, Never-married, Own-child, White, Male,0,0, United-States,35,9,0
17, Private, Machine-op-inspct,32,186824, HS-grad, Never-married, Unmarried, White, Male,0,0, United-States,40,9,0
18, Private, Sales,38,28887, 11th, Married-civ-spouse, Husband, White, Male,0,0, United-States,50,7,0
19, Self-emp-not-inc, Exec-managerial,43,292175, Masters, Divorced, Unmarried, White, Female,0,0, United-States,45,14,1
20, Private, Prof-specialty,40,193524, Doctorate, Married-civ-spouse, Husband, White, Male,0,0, United-States,60,16,1
21, Private, Other-service,54,302146, HS-grad, Separated, Unmarried, Black, Female,0,0, United-States,20,9,0
22, Federal-gov, Farming-fishing,35,76845, 9th, Married-civ-spouse, Husband, Black, Male,0,0, United-States,40,5,0
23, Private, Transport-moving,43,117037, 11th, Married-civ-spouse, Husband, White, Male,0,2042, United-States,40,7,0
